run_id,combo_id,split_id,threshold,val_strategy,val_params,seed,model_key,model_class,model_params,imputer,scaler,pca,pca_params,resampling,resampling_params,n_train,n_test,pos_rate_test,roc_auc,pr_auc,brier,mcc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
20260129_180739,1,stratified80_20_seed478163327,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8253968253968254,0.7663139329805997,0.1600093737608642,0.5048267902790238,0.7666666666666667,0.7698412698412698,0.5833333333333334,0.7777777777777778,0.6666666666666666,16,5,2,7
20260129_180739,2,stratified80_20_seed1122456590,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.6984126984126984,0.570319535221496,0.21954362919891696,0.3267616012328021,0.7333333333333333,0.6507936507936507,0.5714285714285714,0.4444444444444444,0.5,18,3,5,4
20260129_180739,3,stratified80_20_seed198888238,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",198888238,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.798941798941799,0.6942594986712634,0.16052701055457166,0.42766860172384985,0.7666666666666667,0.7063492063492063,0.625,0.5555555555555556,0.5882352941176471,18,3,4,5
20260129_180739,4,stratified80_20_seed1648070629,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1648070629,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8253968253968254,0.7138287638287639,0.15680989714018437,0.2667107547328796,0.7333333333333333,0.5873015873015872,0.6666666666666666,0.2222222222222222,0.3333333333333333,20,1,7,2
20260129_180739,5,stratified80_20_seed2013803541,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",2013803541,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8306878306878307,0.7676166426166426,0.14301868027022752,0.5091750772173156,0.8,0.6666666666666666,1.0,0.3333333333333333,0.5,21,0,6,3
20260129_180739,6,stratified80_20_seed1130931295,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1130931295,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7724867724867724,0.5234052984052984,0.19498936929290783,0.5238095238095238,0.8,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.6666666666666666,18,3,3,6
20260129_180739,7,stratified80_20_seed1092773876,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1092773876,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7989417989417988,0.6912633662633663,0.17475211229822576,0.40006613209931935,0.7666666666666667,0.6746031746031746,0.6666666666666666,0.4444444444444444,0.5333333333333333,19,2,5,4
20260129_180739,8,stratified80_20_seed330267354,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",330267354,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7619047619047619,0.6471248432032746,0.18322064023555445,0.408248290463863,0.7666666666666667,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,21,0,7,2
20260129_180739,9,stratified80_20_seed624025999,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",624025999,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7777777777777778,0.6835880169213502,0.1706256673280225,0.36507936507936506,0.7333333333333333,0.6825396825396826,0.5555555555555556,0.5555555555555556,0.5555555555555556,17,4,4,5
20260129_180739,10,stratified80_20_seed505971449,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",505971449,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8412698412698413,0.7727441077441077,0.14734317487070756,0.5091750772173156,0.8,0.6666666666666666,1.0,0.3333333333333333,0.5,21,0,6,3
20260129_180739,11,stratified80_20_seed189471860,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",189471860,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8518518518518519,0.8154660154660156,0.12413613161768382,0.48795003647426655,0.8,0.6984126984126984,0.8,0.4444444444444444,0.5714285714285714,20,1,5,4
20260129_180739,12,stratified80_20_seed1956584712,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1956584712,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8994708994708994,0.7040021706688374,0.1310268564157163,0.5819143739626463,0.8333333333333334,0.753968253968254,0.8333333333333334,0.5555555555555556,0.6666666666666666,20,1,4,5
20260129_180739,13,stratified80_20_seed180971984,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",180971984,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7724867724867724,0.7364357864357864,0.15955640398135237,0.5921565254637922,0.8333333333333334,0.7857142857142857,0.75,0.6666666666666666,0.7058823529411765,19,2,3,6
20260129_180739,14,stratified80_20_seed1794556993,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1794556993,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8518518518518517,0.8198412698412698,0.12519480777241773,0.5921565254637922,0.8333333333333334,0.7857142857142857,0.75,0.6666666666666666,0.7058823529411765,19,2,3,6
20260129_180739,15,stratified80_20_seed1646993365,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1646993365,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7619047619047619,0.7518564959944272,0.15352433085368894,0.48795003647426655,0.8,0.6984126984126984,0.8,0.4444444444444444,0.5714285714285714,20,1,5,4
20260129_180739,16,stratified80_20_seed1185818180,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1185818180,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8042328042328042,0.6749012845504074,0.15613026443180686,0.48795003647426655,0.8,0.6984126984126984,0.8,0.4444444444444444,0.5714285714285714,20,1,5,4
20260129_180739,17,stratified80_20_seed2002859153,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",2002859153,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8465608465608466,0.789814814814815,0.12807103582255347,0.5091750772173156,0.8,0.6666666666666666,1.0,0.3333333333333333,0.5,21,0,6,3
20260129_180739,18,stratified80_20_seed1210909078,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1210909078,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7671957671957672,0.5933851723325407,0.16881898577948948,0.40006613209931935,0.7666666666666667,0.6746031746031746,0.6666666666666666,0.4444444444444444,0.5333333333333333,19,2,5,4
20260129_180739,19,stratified80_20_seed722441195,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",722441195,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.7936507936507936,0.5876543209876544,0.1849119244118308,0.2927700218845599,0.7333333333333333,0.6190476190476191,0.6,0.3333333333333333,0.42857142857142855,19,2,6,3
20260129_180739,20,stratified80_20_seed1239291411,0.5,stratified_split_80_20,"{""stratify"": true, ""test_size"": 0.2}",1239291411,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8359788359788359,0.6731762065095399,0.16348170768765574,0.36507936507936506,0.7333333333333333,0.6825396825396826,0.5555555555555556,0.5555555555555556,0.5555555555555556,17,4,4,5
